filename,jamming_detected,jamming_event_count,jam_state_0_unknown,jam_state_1_ok,jam_state_2_warn,jam_state_3_crit,agc_mean,agc_std,agc_min,agc_q1,agc_median,agc_q3,agc_max
dan_20241007.ubx,False,0,0,56075,0,0,8501.744449398127,1794.9017568047884,127.0,8076.0,8844.0,9359.0,65429.0
dan_20241008.ubx,False,0,0,86398,0,0,8602.151427116369,1558.62872795353,106.0,8080.0,8847.0,9361.0,65424.0
dan_20241009.ubx,True,61,0,86336,61,0,8682.341389168605,1567.9149350490413,132.0,8331.0,8849.0,9598.0,65428.0
dan_20241010.ubx,False,0,0,86399,0,0,8687.070753133718,1555.647638391716,103.0,8331.0,8849.0,9593.5,65427.0
dan_20241011.ubx,False,0,0,86398,0,0,8637.815886941828,1528.1098432232518,104.0,8084.0,8849.0,9363.0,65431.0
dan_20241012.ubx,False,0,0,86399,0,0,8593.963390779985,1621.2276219407518,100.0,8082.0,8848.0,9362.0,65432.0
dan_20241013.ubx,False,0,0,86397,0,0,8562.27684989062,1714.0934184304351,117.0,8081.0,8848.0,9362.0,65436.0
dan_20241014.ubx,False,0,0,86397,0,0,8585.689537831175,1644.7206918966353,100.0,8083.0,8848.0,9362.0,65433.0
dan_20241015.ubx,False,0,0,86398,0,0,8596.431618787472,1546.6235543364319,112.0,8084.0,8848.0,9361.0,65426.0
dan_20241016.ubx,True,19,0,86380,19,0,8504.237930994572,1667.0147587060649,106.0,8079.0,8845.0,9359.0,65432.0
dan_20241017.ubx,False,0,0,86400,0,0,8675.149398148149,1634.0043251419718,121.0,8330.0,8849.0,9606.0,65426.0
dan_20241018.ubx,False,0,0,86398,0,0,8705.474733211417,1684.9735624096681,104.0,8331.0,8851.0,9611.0,65432.0
dan_20241019.ubx,False,0,0,86400,0,0,8583.779131944444,1576.339210877097,141.0,8081.0,8848.0,9361.0,65427.0
dan_20241020.ubx,False,0,0,86397,0,0,8579.863363311226,1614.9410636123748,141.0,8081.0,8848.0,9361.0,65428.0
dan_20241021.ubx,True,1,0,86396,1,0,8538.700464136486,1602.1920523103622,118.0,8081.0,8848.0,9361.0,65427.0
dan_20241022.ubx,True,2,0,86397,2,0,8493.12974687207,1753.7006521048918,107.0,8080.0,8847.0,9360.0,65429.0
dan_20241023.ubx,False,0,0,86399,0,0,8641.803192166575,1830.783678248544,137.0,8310.0,8849.0,9608.0,65428.0
dan_20241024.ubx,False,0,0,86397,0,0,8686.466428232461,1692.006333919382,102.0,8332.0,8849.0,9606.0,65426.0
dan_20241025.ubx,False,0,0,86398,0,0,8712.145535776292,1476.9185962423978,97.0,8332.0,8850.0,9610.0,65429.0
dan_20241026.ubx,False,0,0,86400,0,0,8595.37013888889,1492.7608389303496,115.0,8081.0,8847.0,9360.0,65425.0
dan_20241027.ubx,False,0,0,86398,0,0,8587.005139007848,1520.1452832568252,139.0,8080.0,8846.0,9360.0,65430.0
dan_20241028.ubx,False,0,0,86400,0,0,8674.599699074073,1526.2414579726908,110.0,8328.0,8849.0,9606.0,65424.0
dan_20241029.ubx,False,0,0,86398,0,0,8651.842044954745,1659.1785790843373,100.0,8085.0,8848.0,9582.0,65435.0
dan_20241030.ubx,False,0,0,86400,0,0,8639.671388888888,1634.496079586663,101.0,8090.75,8849.0,9610.0,65426.0
dan_20241031.ubx,False,0,0,86397,0,0,8608.747606977095,1737.5917559330915,105.0,8081.0,8848.0,9579.0,65427.0
dan_20241101.ubx,False,0,0,86398,0,0,8657.640431491469,1842.779414694498,111.0,8298.0,8849.0,9609.0,65432.0
dan_20241102.ubx,False,0,0,86397,0,0,8629.050441566258,1515.983066053184,134.0,8082.0,8847.0,9362.0,65425.0
dan_20241103.ubx,False,0,0,86399,0,0,8687.806398222201,1633.2939615966009,99.0,8312.0,8849.0,9611.0,65428.0
dan_20241104.ubx,False,0,0,86399,0,0,8582.028785055383,1655.334323849254,139.0,8079.0,8847.0,9361.0,65433.0
dan_20241105.ubx,False,0,0,86398,0,0,8576.868214542003,1712.3560878149506,123.0,8079.0,8848.0,9362.0,65432.0
dan_20241106.ubx,False,0,0,86400,0,0,8557.118252314815,1825.1539468927442,128.0,8079.0,8848.0,9362.0,65432.0
dan_20241107.ubx,False,0,0,86399,0,0,8525.733631176287,1720.4539538536872,130.0,8079.0,8848.0,9362.0,65427.0
dan_20241108.ubx,True,1,0,86396,1,0,8574.391055244974,1865.151845463804,111.0,8081.0,8848.0,9363.0,65428.0
dan_20241109.ubx,False,0,0,86400,0,0,8565.216979166667,1864.7490214472589,110.0,8081.0,8848.0,9361.0,65430.0
dan_20241110.ubx,False,0,0,86399,0,0,8505.133647380178,1730.4147557787264,126.0,8080.0,8845.0,9359.0,65429.0
